metric_name,date,p10,p50,p90
s3.request,2019-12-30T12:00:00Z,2751.759313310502,4956.857341920908,7161.955370531314
s3.request,2019-12-30T13:00:00Z,3630.46990323213,5836.282077862288,8042.094252492447
s3.request,2019-12-30T14:00:00Z,4987.667854837999,7194.193944353316,9400.720033868633
s3.request,2019-12-30T15:00:00Z,6153.9751949963165,8361.214968486474,10568.454741976631
s3.request,2019-12-30T16:00:00Z,6419.50171078076,8627.454937559354,10835.408164337949
s3.request,2019-12-30T17:00:00Z,5470.367234455029,7679.03368405921,9887.700133663391
s3.request,2019-12-30T18:00:00Z,3600.6501165033974,5810.0295586935035,8019.40900088361
s3.request,2019-12-30T19:00:00Z,1538.465406651179,3748.5576114103815,5958.649816169584
s3.request,2019-12-30T20:00:00Z,13.39548415434001,2224.2002216882815,4435.004959222223
s3.request,2019-12-30T21:00:00Z,-622.0079214749849,1589.5091192614518,3801.0261599978885
s3.request,2019-12-30T22:00:00Z,-472.04645071741015,1740.182663871035,3952.41177845948
s3.request,2019-12-30T23:00:00Z,115.0110353116761,2327.9519946230407,4540.892953934405
s3.request,2019-12-31T00:00:00Z,834.8998205272765,3048.5523956535158,5262.204970779755
s3.request,2019-12-31T01:00:00Z,1567.669761875144,3782.033724128901,5996.397686382658
s3.request,2019-12-31T02:00:00Z,2320.168310117169,4535.24343103142,6750.318551945671
s3.request,2019-12-31T03:00:00Z,3092.4143922055337,5308.2004435332365,7523.986494860939
s3.request,2019-12-31T04:00:00Z,3812.3173919784367,6028.814145692175,8245.310899405913
s3.request,2019-12-31T05:00:00Z,4370.851277102207,6588.05850539384,8805.265733685474
s3.request,2019-12-31T06:00:00Z,4681.903056077512,6899.820531357825,9117.738006638137
s3.request,2019-12-31T07:00:00Z,4696.784722085993,6915.412216984341,9134.03971188269
s3.request,2019-12-31T08:00:00Z,4392.585414725777,6611.922702089743,8831.259989453709
s3.request,2019-12-31T09:00:00Z,3802.8377810032753,6022.884633898317,8242.931486793357
s3.request,2019-12-31T10:00:00Z,3097.5754235876543,5318.3316152967545,7539.087807005855
s3.request,2019-12-31T11:00:00Z,2614.999205543054,4836.464509566376,7057.929813589699
s3.request,2019-12-31T12:00:00Z,2734.6831518663657,4956.857341920908,7179.03153197545
s3.request,2019-12-31T13:00:00Z,3613.3992278430414,5836.282077862288,8059.164927881535
s3.request,2019-12-31T14:00:00Z,4970.602660219738,7194.193944353316,9417.785228486893
s3.request,2019-12-31T15:00:00Z,6136.915475873138,8361.214968486474,10585.51446109981
s3.request,2019-12-31T16:00:00Z,6402.44746188538,8627.454937559354,10852.462413233328
s3.request,2019-12-31T17:00:00Z,5453.318450528604,7679.03368405921,9904.748917589815
s3.request,2019-12-31T18:00:00Z,3583.606792295503,5810.0295586935035,8036.4523250915045
s3.request,2019-12-31T19:00:00Z,1521.427536919793,3748.5576114103815,5975.68768590097
s3.request,2019-12-31T20:00:00Z,-3.636936334175971,2224.2002216882815,4452.037379710739
s3.request,2019-12-31T21:00:00Z,-639.0348979459059,1589.5091192614518,3818.0531364688095
s3.request,2019-12-31T22:00:00Z,-489.0679883876642,1740.182663871035,3969.433316129734
s3.request,2019-12-31T23:00:00Z,97.99493123348702,2327.9519946230407,4557.909058012594
s3.request,2020-01-01T00:00:00Z,817.889144840859,3048.5523956535158,5279.215646466173
s3.request,2020-01-01T01:00:00Z,1550.6645093884945,3782.033724128901,6013.402938869308
s3.request,2020-01-01T02:00:00Z,2303.1684756465556,4535.24343103142,6767.318386416285
